-21.918049,13.291579,-18.00952,,966377
-21.918554,13.291399,-18.009594,,966397
-21.91906,13.291219,-18.009668,,966417
-21.919565,13.2910385,-18.009743,,966437
-21.92007,13.290858,-18.009817,,966457
-21.920576,13.290678,-18.009892,,966477
-21.920046,13.290867,-18.009813,,966497
-21.920551,13.290687,-18.009888,,966517
-21.921057,13.290506,-18.009962,,966537
-21.921562,13.290326,-18.010036,,966557
-21.922068,13.290146,-18.01011,,966577
-21.922573,13.289966,-18.010185,,966597
-21.923079,13.289785,-18.01026,,966617
-21.923584,13.289605,-18.010334,,966637
-21.92409,13.289425,-18.010408,,966657
-21.924595,13.289245,-18.010483,,966677
-21.9251,13.289064,-18.010557,,966697
-21.925606,13.288884,-18.010632,,966717
-21.926111,13.288704,-18.010706,,966737
-21.926617,13.288524,-18.01078,,966757
-21.927122,13.288343,-18.010855,,966777
-21.927628,13.288163,-18.01093,,966797
-21.92793,13.287136,-18.010317,,966817
-21.928436,13.286956,-18.010391,,966837
-21.928942,13.286776,-18.010466,,966857
-21.929447,13.286595,-18.01054,,966877
-21.929953,13.286415,-18.010614,,966897
-21.930458,13.286235,-18.010689,,966917
-21.930964,13.286055,-18.010763,,966937
-21.931469,13.285874,-18.010838,,966957
-21.931974,13.285694,-18.010912,,966977
-21.93248,13.285514,-18.010986,,966997
-21.932985,13.285334,-18.01106,,967017
-21.934525,13.284784,-18.01129,,967037
-21.93503,13.284604,-18.011364,,967057
-21.935535,13.284424,-18.011438,,967077
-21.93604,13.284244,-18.011513,,967097
-21.936546,13.284063,-18.011587,,967117
-21.937052,13.283883,-18.011662,,967137
-21.937557,13.283703,-18.011736,,967157
-21.938063,13.283523,-18.01181,,967177
-21.938568,13.283342,-18.011885,,967197
-21.940107,13.282793,-18.012114,,967217
-21.940613,13.282613,-18.012188,,967237
-21.941118,13.282433,-18.012262,,967257
-21.941624,13.282252,-18.012337,,967277
-21.94213,13.282072,-18.012411,,967297
-21.942635,13.281892,-18.012486,,967317
-21.94314,13.281712,-18.01256,,967337
-21.943645,13.281531,-18.012634,,967357
-21.94415,13.281351,-18.012709,,967377
-21.944656,13.281171,-18.012783,,967397
-21.945162,13.280991,-18.012857,,967417
-21.945667,13.28081,-18.012932,,967437
-21.946173,13.28063,-18.013006,,967457
-21.946678,13.28045,-18.01308,,967477
-21.947184,13.28027,-18.013155,,967497
-21.94789,13.280936,-18.013916,,967517
-21.948395,13.280756,-18.01399,,967537
-21.9489,13.280576,-18.014065,,967557
-21.949406,13.2803955,-18.01414,,967577
-21.949911,13.280215,-18.014214,,967597
-21.950417,13.280035,-18.014288,,967617
-21.950922,13.279855,-18.014362,,967637
-21.951628,13.280521,-18.015123,,967657
-21.952133,13.280341,-18.015198,,967677
-21.952639,13.280161,-18.015272,,967697
-21.953144,13.279981,-18.015347,,967717
-21.95365,13.2798,-18.01542,,967737
